species,n,fraction
rosa carolina,167,0.6900826446280992
carex pellita,143,0.5909090909090909
comandra umbellata,107,0.44214876033057854
fragaria virginiana,82,0.33884297520661155
eryngium yuccifolium,71,0.29338842975206614
dichanthelium leibergii,68,0.2809917355371901
silphium terebinthinaceum,68,0.2809917355371901
ratibida pinnata,60,0.24793388429752067
solidago canadensis,60,0.24793388429752067
allium cernuum,59,0.24380165289256198
coreopsis palmata,59,0.24380165289256198
poa pratensis,59,0.24380165289256198
silphium laciniatum,57,0.23553719008264462
symphyotrichum laeve,56,0.23140495867768596
geum aleppicum,54,0.2231404958677686
pycnanthemum virginianum,53,0.2190082644628099
solidago rigida,52,0.21487603305785125
helianthus grosseserratus,50,0.2066115702479339
calamagrostis canadensis,46,0.19008264462809918
liatris aspera,43,0.17768595041322313
sporobolus heterolepis,43,0.17768595041322313
apocynum cannabinum,41,0.16942148760330578
galium obtusum,39,0.16115702479338842
achillea millefolium,35,0.1446280991735537
carex stricta,34,0.14049586776859505
viola sororia,34,0.14049586776859505
zizia aurea,29,0.11983471074380166
maianthemum stellatum,26,0.10743801652892562
solidago gigantea,26,0.10743801652892562
lithospermum canescens,23,0.09504132231404959
andropogon gerardii,22,0.09090909090909091
lycopus americanus,21,0.08677685950413223
symphyotrichum ericoides,21,0.08677685950413223
cornus racemosa,20,0.08264462809917356
monarda fistulosa,19,0.07851239669421488
rhamnus cathartica,19,0.07851239669421488
calystegia sepium,18,0.0743801652892562
veronicastrum virginicum,18,0.0743801652892562
parthenium integrifolium,17,0.07024793388429752
silphium integrifolium,17,0.07024793388429752
equisetum arvense,14,0.05785123966942149
liatris spicata,14,0.05785123966942149
phalaris arundinacea,14,0.05785123966942149
solidago nemoralis,14,0.05785123966942149
spartina pectinata,14,0.05785123966942149
symphyotrichum lanceolatum,14,0.05785123966942149
symphyotrichum novae-angliae,13,0.05371900826446281
alliaria petiolata,12,0.049586776859504134
atriplex patula,12,0.049586776859504134
persicaria amphibia,12,0.049586776859504134
rudbeckia hirta,12,0.049586776859504134
ambrosia artemisiifolia,11,0.045454545454545456
amorpha canescens,11,0.045454545454545456
packera aurea,11,0.045454545454545456
heserostipa spartea,10,0.04132231404958678
prunella vulgaris ssp. lanceolata,10,0.04132231404958678
symphyotrichum pilosum,10,0.04132231404958678
taraxacum officinale,10,0.04132231404958678
elymus repens,9,0.0371900826446281
eupatorium altissimum,9,0.0371900826446281
gentiana puberulenta,9,0.0371900826446281
anemone cylindrica,8,0.03305785123966942
daucus carota,8,0.03305785123966942
lythrum alatum,8,0.03305785123966942
potentilla simplex,8,0.03305785123966942
cirsium discolor,6,0.024793388429752067
eupatorium serotinum,6,0.024793388429752067
glechoma hederacea,6,0.024793388429752067
oenothera biennis,6,0.024793388429752067
rubus occidentalis,6,0.024793388429752067
tradescantia ohiensis,6,0.024793388429752067
verbena hastata,6,0.024793388429752067
carex buxbaumii,5,0.02066115702479339
helianthus pauciflorus,5,0.02066115702479339
leucanthemum vulgare,5,0.02066115702479339
panicum virgatum,5,0.02066115702479339
sisyrinchium albidum,5,0.02066115702479339
bidens aristosa,4,0.01652892561983471
chenopodium album,4,0.01652892561983471
cirsium arvense,4,0.01652892561983471
dalea purpurea,4,0.01652892561983471
euthamia gymnospermoides,4,0.01652892561983471
hypericum perforatum,4,0.01652892561983471
lactuca serriola,4,0.01652892561983471
pedicularis canadensis,4,0.01652892561983471
phlox pilosa ssp. fulgida,4,0.01652892561983471
ambrosia trifida,3,0.012396694214876033
dactylis glomerata,3,0.012396694214876033
drymocallis arguta,3,0.012396694214876033
erigeron annuus,3,0.012396694214876033
euthamia graminifolia,3,0.012396694214876033
geum canadense,3,0.012396694214876033
nepeta cataria,3,0.012396694214876033
persicaria pensylvanica,3,0.012396694214876033
rudbeckia triloba,3,0.012396694214876033
rumex crispus,3,0.012396694214876033
schedonorus arundinaceus,3,0.012396694214876033
antennaria neglecta,2,0.008264462809917356
convolvulus arvensis,2,0.008264462809917356
echinacea pallida,2,0.008264462809917356
eleocharis compressa,2,0.008264462809917356
glyceria striata,2,0.008264462809917356
juncus balticus ssp. littoralis,2,0.008264462809917356
oxalis stricta,2,0.008264462809917356
physalis longifolia,2,0.008264462809917356
scutellaria parvula,2,0.008264462809917356
solidago riddellii,2,0.008264462809917356
syringa vulgaris,2,0.008264462809917356
verbascum thapsus,2,0.008264462809917356
viola pedatifida,2,0.008264462809917356
allium canadense,1,0.004132231404958678
arnoglossum plantagineum,1,0.004132231404958678
baptisia bracteata,1,0.004132231404958678
bromus kalmii,1,0.004132231404958678
carex brevior,1,0.004132231404958678
carex tetanica,1,0.004132231404958678
coreopsis tripteris,1,0.004132231404958678
crataegus mollis,1,0.004132231404958678
echinacea purpurea,1,0.004132231404958678
erigeron strigosus,1,0.004132231404958678
fallopia convolvulus,1,0.004132231404958678
hieracium caespitosum,1,0.004132231404958678
juncus dudleyi,1,0.004132231404958678
juniperus virginiana,1,0.004132231404958678
lepidium campestre,1,0.004132231404958678
potentilla norvegica,1,0.004132231404958678
rorippa palustris,1,0.004132231404958678
rosa multiflora,1,0.004132231404958678
sambucus nigra ssp. canadensis,1,0.004132231404958678
senecio hieraciifolius,1,0.004132231404958678
solanum dulcamara,1,0.004132231404958678
sonchus asper,1,0.004132231404958678
sorghastrum nutans,1,0.004132231404958678
sporobolus compositus,1,0.004132231404958678
