plot,total_cover
B20,311
K10,288
A5,254
D12,252
K8,243
E16,242
J16,240
B7,236
K12,232
F18,229
E19,218
K13,218
A8,216
C18,213
B17,210
G12,203
K9,198
G20,196
K4,195
B8,194
B14,193
F10,192
C11,189
E11,188
I11,187
E18,180
L15,178
K7,177
G13,176
A9,174
B5,174
H12,169
F20,166
F15,165
C22,164
B3,163
I14,162
D16,160
K5,160
B4,159
I8,158
D15,157
G7,157
I15,154
B19,153
E6,153
F21,151
F11,149
G6,147
C12,144
B24,143
E14,143
A19,141
E4,141
B13,139
B22,139
F8,139
G3,139
G15,137
A11,136
A2,134
D11,133
D3,133
B6,131
D5,130
H19,130
J15,129
J13,127
C8,124
K11,124
J18,123
C13,122
E17,122
J5,121
C6,120
B18,119
B11,118
B16,118
C3,118
D7,118
A13,117
E15,117
A25,116
K6,116
C9,115
G11,115
B15,114
E22,114
F12,114
J12,114
B12,113
C21,113
C4,113
C14,110
D22,108
H16,108
D4,106
I12,106
L18,106
E12,105
L16,105
B23,104
D8,104
E3,104
G19,104
D20,100
J3,100
C16,99
D13,99
I7,99
A10,98
D18,98
E5,98
E7,97
E9,97
H5,97
F4,96
A6,95
C24,95
J4,95
A12,94
C7,94
K17,94
C19,93
F13,93
J7,93
H20,92
G1,91
J9,91
L3,91
A4,90
B21,90
I19,90
F2,88
I3,88
E1,87
L6,86
A1,85
D23,85
F19,85
F5,85
G9,85
F fence,84
C20,83
D10,83
F3,83
F17,82
I5,82
L11,82
C1,81
F14,81
J8,81
F16,80
E2,78
H3,78
D14,77
C2,76
E21,76
A17,75
D6,75
E20,75
G2,75
H2,75
H11,74
F7,73
H15,72
I13,72
A15,71
F9,71
K2,71
B2,70
H8,70
I4,70
A23,69
C15,69
E10,69
I6,69
J1,69
D2,68
J2,68
K3,68
L17,68
L4,68
G10,67
G21,67
A18,66
G4,66
H7,66
L2,66
H14,65
L8,65
H4,64
H6,64
B1,63
J11,62
L1,62
D17,61
D19,61
J6,61
E13,59
B10,57
F1,56
E8,55
I10,55
K1,55
G5,54
G8,53
A16,52
A7,52
C5,52
D21,52
G14,52
A14,49
H1,48
I1,48
H9,46
A22,44
H10,44
H13,44
D9,43
D1,41
I2,39
I9,37
C17,36
F6,36
J10,36
G16,34
L5,34
L9,34
A3,33
C10,33
L14,32
L7,31
A24,30
L13,30
A21,28
L10,27
B9,26
C23,18
J19,16
L12,11
A20,5
