plot,total_richness
D15,21
F4,21
C7,20
D2,20
E3,19
F2,19
F3,19
J10,19
J8,19
E13,18
G1,18
B1,17
C6,17
E12,17
E16,17
G15,17
H1,17
H2,17
B2,16
C2,16
D13,16
D16,16
D6,16
E1,16
F13,16
H3,16
J6,16
J9,16
B18,15
B3,15
D14,15
E11,15
E15,15
E2,15
F14,15
J4,15
A8,14
C8,14
D11,14
D7,14
E7,14
F1,14
G4,14
G5,14
J5,14
C16,13
D1,13
E14,13
F16,13
G14,13
G16,13
G7,13
G9,13
H10,13
H13,13
H7,13
I4,13
A10,12
B12,12
B13,12
B5,12
B6,12
C1,12
C3,12
C5,12
D3,12
D5,12
D8,12
E17,12
F11,12
F12,12
F15,12
F7,12
G10,12
G2,12
G3,12
H11,12
H5,12
H9,12
I10,12
I6,12
I7,12
J11,12
J7,12
K7,12
A12,11
A3,11
A5,11
B19,11
B8,11
C13,11
C4,11
D12,11
E18,11
E5,11
F5,11
G12,11
G6,11
H12,11
H14,11
H15,11
H8,11
I13,11
I5,11
I9,11
J1,11
L2,11
A1,10
A25,10
A6,10
B7,10
C11,10
C17,10
E4,10
E6,10
F17,10
F6,10
G19,10
G8,10
H6,10
I3,10
K6,10
L16,10
A11,9
B17,9
B24,9
D4,9
F18,9
F8,9
G11,9
H4,9
I1,9
I15,9
J12,9
J2,9
K13,9
L13,9
L8,9
A17,8
A2,8
A7,8
B11,8
B14,8
B20,8
B21,8
C12,8
C20,8
C21,8
D23,8
F10,8
F19,8
G13,8
H19,8
I2,8
I8,8
K12,8
K4,8
K5,8
L14,8
L7,8
A13,7
A18,7
A22,7
A23,7
A24,7
A9,7
B23,7
C14,7
C15,7
C18,7
C24,7
D17,7
D18,7
D19,7
E10,7
F21,7
F9,7
G20,7
H16,7
H20,7
K1,7
K10,7
K17,7
L1,7
L5,7
A16,6
A19,6
A4,6
B16,6
B22,6
B4,6
C19,6
C22,6
E19,6
E22,6
E8,6
F fence,6
F20,6
G21,6
I12,6
I14,6
J3,6
L17,6
L3,6
L4,6
L6,6
A14,5
B15,5
C23,5
D10,5
D20,5
D21,5
D22,5
D9,5
I11,5
J13,5
J19,5
K2,5
K8,5
K9,5
L12,5
L9,5
A15,4
A21,4
B10,4
C10,4
C9,4
E21,4
E9,4
I19,4
J15,4
J16,4
J18,4
K11,4
K3,4
L15,4
L18,4
A20,3
B9,3
E20,3
L10,3
L11,3
